word_pair	sense_relation	dataset_sim	conceptnet_sim	glove_sim	ernie_sim
banana cherry	co_hyponym	0.7	0.358057209	0.550556694	0.297508862
bar boat	co_hyponym	0.3	0.055548699	0.264687566	0.198365341
bar cafe	co_hyponym	0.64	0.557623093	0.619713628	0.347448144
bar diner	co_hyponym	0.64	0.538571969	0.50481636	0.261908958
bar restaurant	co_hyponym	0.82	0.601384776	0.620755676	0.35896716
baseball hockey	co_hyponym	0.76	0.498383365	0.683174092	0.573242357
bath bed	co_hyponym	0.52	0.397843988	0.701589457	0.329993642
bathroom bedroom	co_hyponym	0.76	0.61834982	0.77537048	0.538240751
bathroom kitchen	co_hyponym	0.86	0.585359085	0.800968347	0.529097582
bathroom patio	co_hyponym	0.4	0.326469005	0.580087086	0.371094631
bathroom porch	co_hyponym	0.38	0.290174212	0.539445049	0.325653446
bedroom kitchen	co_hyponym	0.6	0.504476211	0.657131874	0.52563083
bedroom patio	co_hyponym	0.4	0.421803279	0.569381013	0.420305653
bedroom porch	co_hyponym	0.36	0.419748708	0.563547758	0.357508459
bedroom stair	co_hyponym	0.48	0.307952661	0.330229007	0.281209895
bedroom staircase	co_hyponym	0.48	0.391582932	0.487181698	0.332375012
beef chicken	co_hyponym	0.76	0.616480951	0.795419179	0.430822167
beef deer	co_hyponym	0.52	0.312080898	0.367965226	0.293603357
beef lamb	co_hyponym	0.68	0.596290004	0.713563305	0.305234398
beef pepper	co_hyponym	0.52	0.313749072	0.550128119	0.300443814
beef potato	co_hyponym	0.7	0.41749279	0.631235605	0.33710002
beef salad	co_hyponym	0.52	0.415523387	0.636202801	0.296013528
beef tomato	co_hyponym	0.56	0.406693755	0.612685659	0.330003191
berry blossom	co_hyponym	0.64	0.329348082	0.490189331	0.313823181
berry twig	co_hyponym	0.64	0.223675674	0.338957755	0.270974318
bike chopper	co_hyponym	0.64	0.378687351	0.454477323	0.399770694
bird dragonfly	co_hyponym	0.56	0.385450279	0.536382248	0.403292017
bird insect	co_hyponym	0.74	0.346230083	0.55335984	0.413400495
bird mammal	co_hyponym	0.58	0.310479031	0.536590071	0.398130693
bird reptile	co_hyponym	0.62	0.277257896	0.507616447	0.210950837
black blue	co_hyponym	0.74	0.572039465	0.722410581	0.520119361
black bright	co_hyponym	0.4	0.209219862	0.492765954	0.364138487
black brown	co_hyponym	0.68	0.529405096	0.730862933	0.499226543
black pink	co_hyponym	0.66	0.387217508	0.659943739	0.423455451
black purple	co_hyponym	0.72	0.480241502	0.655792524	0.469007391
black violet	co_hyponym	0.62	0.349345025	0.506229178	0.326550761
black yellow	co_hyponym	0.64	0.47133435	0.661012978	0.488251802
blonde redhead	co_hyponym	0.82	0.75769651	0.882267207	0.582752441
blue dark	co_hyponym	0.46	0.414529475	0.646344385	0.398547776
blue green	co_hyponym	0.72	0.650608353	0.763190257	0.56972807
blue grey	co_hyponym	0.78	0.602506827	0.772994193	0.462090261
blue orange	co_hyponym	0.76	0.544550275	0.770177519	0.463398582
blue pink	co_hyponym	0.68	0.672721914	0.806609234	0.521886474
blue purple	co_hyponym	0.72	0.753926368	0.834837506	0.604003284
blue red	co_hyponym	0.72	0.778211508	0.844066089	0.543642545
blue violet	co_hyponym	0.76	0.597716221	0.666387297	0.452386673
blue white	co_hyponym	0.62	0.651861002	0.783354262	0.51634293
blue yellow	co_hyponym	0.66	0.746095105	0.818806785	0.565102304
boy girl	co_hyponym	0.7	0.736954036	0.814766127	0.631975047
bread dessert	co_hyponym	0.48	0.488870451	0.634325996	0.382375066
bread potato	co_hyponym	0.68	0.391825295	0.690374381	0.340333419
bread salad	co_hyponym	0.62	0.396783672	0.713749256	0.3247348
breakfast dinner	co_hyponym	0.74	0.630718253	0.746650477	0.625669801
breakfast lunch	co_hyponym	0.74	0.705673935	0.782138954	0.615620288
brick concrete	co_hyponym	0.74	0.518258499	0.657729954	0.343850731
brown green	co_hyponym	0.76	0.465544719	0.649057412	0.535065905
brown grey	co_hyponym	0.74	0.480991093	0.734172017	0.459145768
brown orange	co_hyponym	0.68	0.322184333	0.671041589	0.450404313
brown pelican	co_hyponym	0.36	0.130143512	0.236086421	0.242780024
brown pink	co_hyponym	0.58	0.348874712	0.6384362	0.430464185
brown purple	co_hyponym	0.68	0.398950437	0.662562145	0.471181446
brown red	co_hyponym	0.64	0.411398024	0.69514721	0.387008116
brown violet	co_hyponym	0.62	0.264641675	0.530090037	0.363429072
brown white	co_hyponym	0.64	0.492041285	0.717655734	0.52777638
brown yellow	co_hyponym	0.68	0.415272057	0.666745509	0.482527295
bud fruit	co_hyponym	0.62	0.20636299	0.406399812	0.297121764
bud petal	co_hyponym	0.76	0.358089942	0.463630154	0.259692882
bud twig	co_hyponym	0.74	0.256764536	0.468763005	0.244629975
building sidewalk	co_hyponym	0.54	0.278237751	0.397529877	0.237804361
burger dessert	co_hyponym	0.46	0.299727025	0.502523651	0.316119302
burger salad	co_hyponym	0.6	0.548209795	0.66641973	0.430814756
burger soup	co_hyponym	0.6	0.371355487	0.592943222	0.345034927
bus crane	co_hyponym	0.32	0.078243946	0.264080805	0.251549837
bus rail	co_hyponym	0.52	0.457270079	0.533586877	0.359085008
bus subway	co_hyponym	0.74	0.518450556	0.573425886	0.378527072
bus taxi	co_hyponym	0.82	0.660139742	0.724504926	0.361144208
bus tram	co_hyponym	0.76	0.684838005	0.594290947	0.381590546
butterfly dragonfly	co_hyponym	0.8	0.600528949	0.722845861	0.407831297
butterfly hummingbird	co_hyponym	0.72	0.459724557	0.5988982	0.369994015
butterfly insect	co_hyponym	0.84	0.533040338	0.514690448	0.38530306
button sticker	co_hyponym	0.54	0.172137072	0.276490534	0.236735347
cafe diner	co_hyponym	0.8	0.697528832	0.651341328	0.541361215
cafe pub	co_hyponym	0.8	0.615940467	0.602604212	0.322796386
cafe restaurant	co_hyponym	0.84	0.724048301	0.714126362	0.63710254
canyon mountain	co_hyponym	0.7	0.52574662	0.643198188	0.463943652
carrot fruit	co_hyponym	0.52	0.386689114	0.575540354	0.35228123
carrot pepper	co_hyponym	0.56	0.3443963	0.665773257	0.258880275
carrot potato	co_hyponym	0.78	0.508758912	0.771631278	0.401459107
carrot tomato	co_hyponym	0.7	0.435079088	0.697373323	0.374476437
cattle goat	co_hyponym	0.58	0.549788997	0.571197245	0.33377606
cattle sheep	co_hyponym	0.76	0.706359316	0.776227032	0.498780685
ceiling door	co_hyponym	0.46	0.295136201	0.505728684	0.331977723
ceiling floor	co_hyponym	0.76	0.517458765	0.656785157	0.553023904
ceiling interior	co_hyponym	0.76	0.23281022	0.473109756	0.303505373
ceiling kitchen	co_hyponym	0.52	0.307208135	0.533484182	0.253440123
ceiling patio	co_hyponym	0.32	0.345707916	0.529706243	0.304946293
ceiling porch	co_hyponym	0.74	0.379544002	0.567702231	0.237831018
ceiling roof	co_hyponym	0.78	0.627444472	0.636107475	0.45325752
ceiling room	co_hyponym	0.72	0.405549592	0.573085822	0.323986738
ceiling stair	co_hyponym	0.5	0.37740566	0.500386383	0.31674515
ceiling staircase	co_hyponym	0.64	0.470868136	0.635574991	0.348696641
ceiling wall	co_hyponym	0.7	0.531773645	0.692541125	0.4006761
ceiling window	co_hyponym	0.62	0.402774267	0.531041169	0.368292647
cheetah giraffe	co_hyponym	0.72	0.550806002	0.709333034	0.365396748
cheetah lion	co_hyponym	0.8	0.539085522	0.615729774	0.235369585
cherry grape	co_hyponym	0.7	0.445288037	0.592160843	0.292740492
cherry meat	co_hyponym	0.28	0.011394827	0.311419677	0.230629055
cherry orange	co_hyponym	0.68	0.400147503	0.597960389	0.284455376
cherry raspberry	co_hyponym	0.8	0.631936124	0.7016025	0.24536235
cherry strawberry	co_hyponym	0.74	0.580982123	0.713591487	0.382948852
chicken lamb	co_hyponym	0.64	0.450478889	0.711525242	0.320545282
chicken pepper	co_hyponym	0.4	0.342894032	0.632259159	0.218162652
chicken rice	co_hyponym	0.68	0.38673011	0.687813304	0.389418861
chicken salad	co_hyponym	0.6	0.471749117	0.754091475	0.325311397
chicken soup	co_hyponym	0.72	0.496815046	0.758656678	0.357243185
chipmunk squirrel	co_hyponym	0.88	0.695775105	0.680799924	0.247848123
chipmunk wolf	co_hyponym	0.42	0.187862707	0.418966061	0.198732605
chocolate strawberry	co_hyponym	0.7	0.452222812	0.689181004	0.438840113
christmas valentine	co_hyponym	0.56	0.505574898	0.748309601	0.405774863
cloud mist	co_hyponym	0.74	0.513028155	0.468294149	0.276445285
coast hill	co_hyponym	0.56	0.179162877	0.450621532	0.343327217
coast valley	co_hyponym	0.5	0.163826615	0.469282093	0.361792744
coffee tea	co_hyponym	0.9	0.667046541	0.74642826	0.545474894
coin ticket	co_hyponym	0.52	0.181259019	0.298011341	0.306303071
collage sculpture	co_hyponym	0.52	0.416282521	0.515063714	0.216469504
collar skirt	co_hyponym	0.54	0.413231492	0.551700124	0.290618571
cone diamond	co_hyponym	0.46	0.153366984	0.251815472	0.197281915
copper silver	co_hyponym	0.76	0.613093156	0.664796709	0.525486769
crochet knit	co_hyponym	0.88	0.736414195	0.755685871	0.280251005
crochet stitch	co_hyponym	0.68	0.631850812	0.754976099	0.230003484
crow gull	co_hyponym	0.7	0.357289712	0.476216994	0.201731434
crow hawk	co_hyponym	0.76	0.513356147	0.562879646	0.366631614
crystal spiral	co_hyponym	0.42	0.185935387	0.340014679	0.228589306
cute fun	co_hyponym	0.38	0.352599374	0.613822627	0.356573069
cute happy	co_hyponym	0.54	0.22429393	0.560905006	0.304035972
cute sexy	co_hyponym	0.5	0.455371557	0.656177647	0.522075568
daffodil rose	co_hyponym	0.74	0.366571793	0.346261613	0.205612919
daffodil tulip	co_hyponym	0.88	0.577795093	0.622551112	0.293897076
dark orange	co_hyponym	0.46	0.218059748	0.592241757	0.292089948
dark pink	co_hyponym	0.44	0.247407022	0.55136188	0.31351781
dark purple	co_hyponym	0.56	0.363409331	0.597768556	0.365144656
dark red	co_hyponym	0.4	0.341558262	0.648642088	0.315639064
dark violet	co_hyponym	0.42	0.316064072	0.560823201	0.301726961
dark white	co_hyponym	0.58	0.409023834	0.626845961	0.391554239
dark yellow	co_hyponym	0.4	0.336479181	0.568817877	0.330714301
deer elephant	co_hyponym	0.48	0.296292183	0.561314318	0.313725833
deer insect	co_hyponym	0.46	0.140087612	0.408259538	0.31003946
desert mountain	co_hyponym	0.62	0.310796098	0.604737278	0.401746862
dessert meat	co_hyponym	0.38	0.228806762	0.453831097	0.308374749
dessert noodle	co_hyponym	0.44	0.31193256	0.482100839	0.213808268
dessert pepper	co_hyponym	0.42	0.085276705	0.361867328	0.180211176
dessert rice	co_hyponym	0.44	0.251129075	0.489025061	0.266409238
dessert sandwich	co_hyponym	0.46	0.465364255	0.562404614	0.338018243
dessert soup	co_hyponym	0.46	0.396425776	0.633013011	0.388379862
dessert tomato	co_hyponym	0.28	0.223461139	0.45566556	0.245810837
dew rain	co_hyponym	0.7	0.434849641	0.477041897	0.322552077
dew sunshine	co_hyponym	0.36	0.342054133	0.481284542	0.239541132
door floor	co_hyponym	0.56	0.257176159	0.590350275	0.379175566
door window	co_hyponym	0.72	0.607797001	0.643579249	0.488057704
dragonfly frog	co_hyponym	0.66	0.340039822	0.587456719	0.398449674
dragonfly hummingbird	co_hyponym	0.66	0.533919716	0.689994809	0.408165148
dragonfly reptile	co_hyponym	0.5	0.261526799	0.445597209	0.260730108
duck goose	co_hyponym	0.78	0.636442785	0.700781719	0.371051671
eagle hawk	co_hyponym	0.84	0.657577417	0.651107592	0.375689081
elephant giraffe	co_hyponym	0.8	0.582238173	0.724260377	0.241869685
escalator stair	co_hyponym	0.82	0.609298816	0.55776684	0.271697274
eye lip	co_hyponym	0.74	0.354954112	0.562743949	0.326236062
fabric wool	co_hyponym	0.86	0.617619616	0.677356592	0.316240034
family friend	co_hyponym	0.8	0.341655289	0.528243138	0.275714949
feline reptile	co_hyponym	0.42	0.30620701	0.453951522	0.317281378
field skyscraper	co_hyponym	0.46	0.013303797	0.025334566	0.141231179
flamingo hummingbird	co_hyponym	0.82	0.37094165	0.518864804	0.272086491
flamingo insect	co_hyponym	0.4	0.116966966	0.255169039	0.218990397
flamingo mallard	co_hyponym	0.6	0.267048407	0.450077599	0.203581939
flamingo mammal	co_hyponym	0.54	0.164889689	0.31243567	0.151428749
flamingo pelican	co_hyponym	0.66	0.469361966	0.591344725	0.320035287
flamingo stork	co_hyponym	0.72	0.371558277	0.537889116	0.403187371
floor stair	co_hyponym	0.58	0.500009229	0.547816716	0.334487293
floor staircase	co_hyponym	0.62	0.524428426	0.618032164	0.377968158
frog whale	co_hyponym	0.52	0.203802375	0.434170636	0.313294581
fruit meat	co_hyponym	0.48	0.280877027	0.540273171	0.402526387
fruit nut	co_hyponym	0.66	0.383420456	0.468921635	0.234428382
fruit potato	co_hyponym	0.52	0.345025198	0.569123098	0.293931488
fruit sunflower	co_hyponym	0.42	0.224672719	0.477608765	0.28778669
fungus moss	co_hyponym	0.62	0.248534169	0.421793661	0.349120413
fungus plant	co_hyponym	0.66	0.213103567	0.386730429	0.359870093
garage kitchen	co_hyponym	0.6	0.36174645	0.568817797	0.387226997
garden kitchen	co_hyponym	0.48	0.305727856	0.596938198	0.437552488
giraffe lion	co_hyponym	0.62	0.449980537	0.597920456	0.260702308
giraffe zebra	co_hyponym	0.8	0.628425468	0.749927469	0.261946657
glass vinyl	co_hyponym	0.58	0.24703561	0.394345805	0.308324401
glitter misty	co_hyponym	0.46	0.199185781	0.259826171	0.246688833
goat sheep	co_hyponym	0.74	0.686759796	0.718027999	0.389566378
gold silver	co_hyponym	0.8	0.855595293	0.883101664	0.66076746
